Characteristics,exp(coef),lower .95,upper .95,exp(coef) [confint],p,death
All causes,,,,,,
Graves et al.2010,1.3536,0.5207,2.1866,1.3536(0.5207-2.1866),0.001,28
Gao et al.2015,0.2307,0.0387,0.4226,0.2307(0.0387-0.4226),0.001,420
Gao et al.2012,0.5504,-0.0041,1.1050 ,0.5504(-0.0041-1.105),0.001,52
Haris et al.2025,4.3325,3.1584,5.5066,4.3325(3.1584-5.5066),0.001,40
You et al.2018,0.5794,0.0765,1.0823,0.5794(0.0765-1.0823),0.001,64
Lau et al.2016,0.1165,-0.3222,0.5551,0.1165(-0.3222-0.5551),0.001,80
Yan et al.2020,0.3484,-0.1107,0.8076,0.3484(-0.1107-0.8076),0.001,80
Stearne et al.2025 £¨Higlh-structure£©,0.2078,-0.2689,0.6846,0.2078(-0.2689-0.6846),0.001,68
Stearne et al.2025 £¨Low-Structure£©,0,-0.4754,0.4754,0(-0.4754-0.4754),0.001,68
Bradt et al.2024,0.1442,-0.0137,0.3021,0.1442(-0.0137-0.3021),0.001,618
Dwarkadas et al.2025,0.9019,0.1458,1.6580 ,0.9019(0.1458-1.658),0.001,30
Lu et al.2018,0.2636,-0.2782,0.8055,0.2636(-0.2782-0.8055),0.001,53
Liu et al.2024,0.8425,0.1576,1.5274,0.8425(0.1576-1.5274),0.001,36
Han et al.2017,0.6968,0.1809,1.2128,0.6968(0.1809-1.2128),0.001,62
Quintas et al.2021,0.0281,-0.1753,0.2314,0.0281(-0.1753-0.2314),0.001,377
Sanchez et al.2017,0.2969,-0.1782,0.7720 ,0.2969(-0.1782-0.772),0.001,69
Vallabhajosula et al.2016,0.3863,-0.1852,0.9578,0.3863(-0.1852-0.9578),0.001,48
